radius_m,viscosity_pa_s,radius_normalized_0p5_1p0,radius_normalized_0p55_1p0,radius_normalized_1p22_2p22,viscosity_scaled_by_min
6371000.0,5e+23,1.0,1.0,2.22,1056.859015007398
6348400.0,1.709e+23,0.9960899653979238,0.9964809688581315,2.212179930795848,361.23441132952865
6325800.0,6.246e+22,0.9921799307958478,0.992961937716263,2.2043598615916955,132.02282815472415
6303300.0,2.311e+22,0.9882871972318339,0.9894584775086505,2.196574394463668,48.84802367364193
6280700.0,9.276e+21,0.9843771626297577,0.985939446366782,2.1887543252595156,19.60684844641725
6258100.0,3.839e+21,0.9804671280276817,0.9824204152249134,2.1809342560553633,8.114563517226802
6235500.0,1.638e+21,0.9765570934256056,0.978901384083045,2.173114186851211,3.462270133164236
6213000.0,9.814e+20,0.9726643598615917,0.9753979238754324,2.1653287197231834,2.0744028746565206
6190400.0,4.731e+20,0.9687543252595155,0.971878892733564,2.1575086505190315,1.0
6167800.0,4.75e+20,0.9648442906574395,0.9683598615916955,2.149688581314879,1.0040160642570282
6145200.0,4.774e+20,0.9609342560553633,0.9648408304498269,2.141868512110727,1.0090889875290636
6122600.0,4.809e+20,0.9570242214532871,0.9613217993079585,2.1340484429065745,1.0164870006341153
6100100.0,4.854e+20,0.9531314878892734,0.9578183391003461,2.126262975778547,1.0259987317691819
6077500.0,4.903e+20,0.9492214532871972,0.9542993079584776,2.1184429065743946,1.0363559501162545
6054900.0,4.955e+20,0.945311418685121,0.950780276816609,2.1106228373702423,1.0473472838723314
6032300.0,5.011e+20,0.941401384083045,0.9472612456747405,2.1028027681660904,1.0591841048404143
6009800.0,5.069e+20,0.9375086505190311,0.9437577854671281,2.0950173010380624,1.0714436694145002
5987200.0,1.02e+21,0.933598615916955,0.9402387543252595,2.08719723183391,2.1559923906150917
5964600.0,1.534e+21,0.929688581314879,0.936719723183391,2.0793771626297577,3.2424434580426973
5942000.0,3.076e+21,0.9257785467128028,0.9332006920415226,2.071557093425606,6.501796660325512
5919400.0,3.087e+21,0.9218685121107266,0.9296816608996541,2.0637370242214534,6.525047558655676
5896900.0,3.103e+21,0.9179757785467129,0.9261782006920416,2.055951557093426,6.558867047135912
5874300.0,3.121e+21,0.9140657439446367,0.9226591695501731,2.0481314878892736,6.5969139716761775
5851700.0,3.141e+21,0.9101557093425605,0.9191401384083046,2.0403114186851212,6.639188332276474
5829100.0,3.161e+21,0.9062456747404845,0.915621107266436,2.032491349480969,6.68146269287677
5806500.0,3.183e+21,0.9023356401384083,0.9121020761245675,2.0246712802768165,6.727964489537096
5784000.0,3.206e+21,0.8984429065743944,0.908598615916955,2.016885813148789,6.776580004227436
5761400.0,3.229e+21,0.8945328719723183,0.9050795847750865,2.0090657439446367,6.825195518917776
5738800.0,3.255e+21,0.8906228373702423,0.9015605536332181,2.0012456747404848,6.880152187698162
5716200.0,3.282e+21,0.8867128027681661,0.8980415224913495,1.9934256055363324,6.937222574508561
5693700.0,6.615e+21,0.8828200692041522,0.894538062283737,1.9856401384083047,13.982244768547876
5671100.0,1.388e+22,0.8789100346020762,0.8910190311418685,1.9778200692041525,29.338406256605367
5648500.0,2.795e+22,0.875,0.8875,1.9700000000000002,59.07841893891355
5625900.0,2.815e+22,0.8710899653979238,0.8839809688581315,1.9621799307958478,59.501162544916504
5603300.0,2.837e+22,0.8671799307958478,0.880461937716263,1.9543598615916955,59.96618051151976
5580800.0,2.858e+22,0.8632871972318339,0.8769584775086505,1.946574394463668,60.41006129782287
5558200.0,2.88e+22,0.8593771626297577,0.8734394463667821,1.9387543252595156,60.87507926442613
5535600.0,2.901e+22,0.8554671280276817,0.8699204152249135,1.9309342560553635,61.31896005072923
5513000.0,2.922e+22,0.8515570934256056,0.866401384083045,1.9231141868512112,61.762840837032336
5490500.0,2.944e+22,0.8476643598615917,0.8628979238754325,1.9153287197231834,62.2278588036356
5467900.0,2.965e+22,0.8437543252595155,0.8593788927335639,1.9075086505190313,62.6717395899387
5445300.0,2.987e+22,0.8398442906574395,0.8558598615916955,1.8996885813148792,63.13675755654196
5422700.0,3.009e+22,0.8359342560553633,0.852340830449827,1.8918685121107268,63.601775523145214
5400100.0,3.032e+22,0.8320242214532871,0.8488217993079585,1.8840484429065745,64.08793067004862
5377600.0,3.056e+22,0.8281314878892734,0.845318339100346,1.876262975778547,64.59522299725216
5355000.0,3.08e+22,0.8242214532871972,0.8417993079584776,1.8684429065743946,65.10251532445572
5332400.0,3.105e+22,0.820311418685121,0.838280276816609,1.8606228373702423,65.63094483195943
5309800.0,3.13e+22,0.816401384083045,0.8347612456747404,1.8528027681660901,66.15937433946311
5287200.0,3.156e+22,0.8124913494809689,0.831242214532872,1.844982698961938,66.70894102726696
5264700.0,3.182e+22,0.808598615916955,0.8277387543252595,1.83719723183391,67.2585077150708
5242100.0,3.208e+22,0.804688581314879,0.824219723183391,1.829377162629758,67.80807440287465
5219500.0,3.236e+22,0.8007785467128028,0.8207006920415225,1.8215570934256058,68.3999154512788
5196900.0,3.264e+22,0.7968685121107266,0.817181660899654,1.8137370242214534,68.99175649968294
5174400.0,3.293e+22,0.7929757785467129,0.8136782006920416,1.8059515570934257,69.60473472838723
5151800.0,3.323e+22,0.7890657439446367,0.8101591695501731,1.7981314878892736,70.23885013739168
5129200.0,3.353e+22,0.7851557093425605,0.8066401384083045,1.7903114186851212,70.87296554639612
5106600.0,3.385e+22,0.7812456747404845,0.8031211072664359,1.7824913494809689,71.54935531600084
5084000.0,3.417e+22,0.7773356401384083,0.7996020761245675,1.7746712802768168,72.22574508560558
5061500.0,3.45e+22,0.7734429065743944,0.796098615916955,1.766885813148789,72.92327203551046
5038900.0,3.484e+22,0.7695328719723183,0.7925795847750865,1.7590657439446367,73.64193616571549
5016300.0,3.519e+22,0.7656228373702423,0.789060553633218,1.7512456747404845,74.38173747622066
4993700.0,3.555e+22,0.7617128027681661,0.7855415224913495,1.7434256055363322,75.142675967026
4971200.0,3.592e+22,0.7578200692041522,0.7820380622837371,1.7356401384083044,75.92475163813147
4948600.0,3.63e+22,0.7539100346020762,0.7785190311418685,1.7278200692041523,76.7279644895371
4926000.0,3.668e+22,0.75,0.775,1.7200000000000002,77.53117734094272
4903400.0,3.707e+22,0.7460899653979238,0.7714809688581314,1.7121799307958478,78.3555273726485
4880800.0,3.747e+22,0.7421799307958478,0.767961937716263,1.7043598615916955,79.2010145846544
4858300.0,3.788e+22,0.7382871972318339,0.7644584775086505,1.696574394463668,80.06763897696048
4835700.0,3.829e+22,0.7343771626297577,0.760939446366782,1.6887543252595156,80.93426336926653
4813100.0,3.871e+22,0.7304671280276817,0.7574204152249135,1.6809342560553633,81.82202494187275
4790500.0,3.913e+22,0.7265570934256056,0.7539013840830451,1.6731141868512112,82.70978651447896
4768000.0,3.955e+22,0.7226643598615917,0.7503979238754326,1.6653287197231834,83.59754808708517
4745400.0,3.999e+22,0.7187543252595155,0.7468788927335641,1.657508650519031,84.52758402029168
4722800.0,4.043e+22,0.7148442906574395,0.7433598615916955,1.649688581314879,85.45761995349821
4700200.0,4.087e+22,0.7109342560553633,0.7398408304498271,1.6418685121107268,86.38765588670472
4677600.0,4.133e+22,0.7070242214532871,0.7363217993079585,1.6340484429065745,87.35996618051152
4655100.0,4.18e+22,0.7031314878892734,0.7328183391003461,1.6262629757785467,88.35341365461846
4632500.0,4.228e+22,0.6992214532871972,0.7292993079584775,1.6184429065743946,89.36799830902557
4609900.0,4.278e+22,0.6953114186851211,0.7257802768166091,1.6106228373702423,90.42485732403297
4587300.0,4.329e+22,0.691401384083045,0.7222612456747405,1.60280276816609,91.50285351934052
4564800.0,4.382e+22,0.6875086505190311,0.7187577854671281,1.5950173010380624,92.62312407524836
4542200.0,4.436e+22,0.683598615916955,0.7152387543252595,1.58719723183391,93.76453181145635
4519600.0,4.493e+22,0.6796885813148789,0.711719723183391,1.579377162629758,94.96935108856479
4497000.0,4.551e+22,0.6757785467128028,0.7082006920415225,1.5715570934256056,96.19530754597338
4474400.0,4.61e+22,0.6718685121107266,0.704681660899654,1.5637370242214534,97.44240118368211
4451900.0,4.672e+22,0.6679757785467129,0.7011782006920415,1.5559515570934257,98.75290636229127
4429300.0,4.735e+22,0.6640657439446367,0.697659169550173,1.5481314878892733,100.08454872120059
4406700.0,4.801e+22,0.6601557093425605,0.6941401384083046,1.5403114186851212,101.47960262101036
4384100.0,4.868e+22,0.6562456747404845,0.690621107266436,1.5324913494809689,102.89579370112027
4361500.0,4.938e+22,0.6523356401384083,0.6871020761245675,1.5246712802768165,104.37539632213063
4339000.0,5.009e+22,0.6484429065743944,0.683598615916955,1.516885813148789,105.87613612344114
4316400.0,5.083e+22,0.6445328719723183,0.6800795847750866,1.5090657439446367,107.44028746565208
4293800.0,5.159e+22,0.6406228373702423,0.676560553633218,1.5012456747404845,109.04671316846333
4271200.0,5.236e+22,0.6367128027681661,0.6730415224913495,1.4934256055363322,110.67427605157472
4248700.0,5.316e+22,0.6328200692041522,0.669538062283737,1.4856401384083044,112.36525047558655
4226100.0,5.397e+22,0.6289100346020762,0.6660190311418686,1.4778200692041523,114.07736207989853
4203500.0,5.479e+22,0.625,0.6625,1.47,115.81061086451068
4180899.999999999,5.564e+22,0.6210899653979237,0.6589809688581314,1.4621799307958474,117.60727119002325
4158300.0,5.649e+22,0.6171799307958478,0.655461937716263,1.4543598615916955,119.40393151553583
4135800.0,5.736e+22,0.6132871972318339,0.6519584775086505,1.4465743944636678,121.2428662016487
4113200.0,5.823e+22,0.6093771626297578,0.6484394463667821,1.4387543252595156,123.08180088776157
4090600.0,5.912e+22,0.6054671280276817,0.6449204152249135,1.4309342560553633,124.96300993447475
4068000.0,6.002e+22,0.6015570934256056,0.641401384083045,1.4231141868512112,126.86535616148807
4045500.0,6.093e+22,0.5976643598615917,0.6378979238754325,1.4153287197231834,128.78883956880154
4022900.0,6.185e+22,0.5937543252595155,0.6343788927335641,1.407508650519031,130.73346015641513
4000300.0,6.279e+22,0.5898442906574395,0.6308598615916955,1.399688581314879,132.72035510462905
3977700.0,6.374e+22,0.5859342560553633,0.627340830449827,1.3918685121107266,134.7283872331431
3955100.0,6.471e+22,0.5820242214532871,0.6238217993079586,1.3840484429065745,136.77869372225746
3932600.0,6.568e+22,0.5781314878892734,0.6203183391003461,1.3762629757785467,138.8290002113718
3910000.0,6.666e+22,0.5742214532871972,0.6167993079584775,1.3684429065743946,140.9004438807863
3887400.0,6.763e+22,0.5703114186851211,0.613280276816609,1.3606228373702423,142.95075036990065
3864800.0,6.86e+22,0.566401384083045,0.6097612456747405,1.35280276816609,145.00105685901502
3842200.0,6.955e+22,0.5624913494809689,0.606242214532872,1.3449826989619378,147.00908898752905
3819700.0,7.048e+22,0.558598615916955,0.6027387543252596,1.33719723183391,148.97484675544283
3797100.0,7.137e+22,0.5546885813148789,0.599219723183391,1.3293771626297577,150.856055802156
3774500.0,7.221e+22,0.5507785467128028,0.5957006920415225,1.3215570934256056,152.6315789473684
3751900.0,7.297e+22,0.5468685121107266,0.592181660899654,1.3137370242214532,154.23800465017968
3729400.0,7.359e+22,0.5429757785467129,0.5886782006920416,1.3059515570934257,155.54850982878884
3706800.0,7.401e+22,0.5390657439446367,0.585159169550173,1.2981314878892733,156.43627140139506
3684200.0,7.41e+22,0.5351557093425605,0.5816401384083045,1.290311418685121,156.6265060240964
3661600.0,7.363e+22,0.5312456747404845,0.5781211072664361,1.2824913494809689,155.6330585499894
3639000.0,7.229e+22,0.5273356401384083,0.5746020761245675,1.2746712802768165,152.80067638976962
3616500.0,6.953e+22,0.5234429065743944,0.5710986159169551,1.266885813148789,146.96681462692877
3593900.0,6.471e+22,0.5195328719723183,0.5675795847750865,1.2590657439446367,136.77869372225746
3571300.0,5.696e+22,0.5156228373702422,0.564060553633218,1.2512456747404843,120.39737898964277
3548700.0,4.625e+22,0.5117128027681661,0.5605415224913495,1.2434256055363322,97.75945888818433
3526200.0,3.314e+22,0.5078200692041522,0.5570380622837371,1.2356401384083044,70.04861551469034
3503600.0,2.128e+22,0.5039100346020762,0.5535190311418685,1.2278200692041523,44.97991967871486
3481000.0,1.25e+22,0.5,0.55,1.22,26.421475375184947
